Employee #,Date,Time-in,Time-out
10001,01/09/2022,8:00,17:00
10002,01/09/2022,8:00,17:00
10003,01/09/2022,8:00,17:00
10004,01/09/2022,8:00,17:00
10005,01/09/2022,8:00,17:00
10006,01/09/2022,8:00,17:00
10007,01/09/2022,8:27,17:00
10008,01/09/2022,8:01,17:00
10009,01/09/2022,8:05,17:00
10010,01/09/2022,8:00,17:00
10011,01/09/2022,8:00,17:00
10012,01/09/2022,8:00,17:00
10013,01/09/2022,8:00,17:00
10014,01/09/2022,8:00,17:00
10015,01/09/2022,8:00,17:00
10016,01/09/2022,8:28,17:00
10017,01/09/2022,8:00,17:00
10018,01/09/2022,8:00,17:00
10019,01/09/2022,8:00,17:00
10020,01/09/2022,8:00,17:00
10021,01/09/2022,8:11,17:00
10022,01/09/2022,8:00,17:00
10023,01/09/2022,8:00,17:00
10024,01/09/2022,8:21,17:00
10025,01/09/2022,8:00,17:00
10001,02/09/2022,8:00,17:00
10002,02/09/2022,8:00,17:00
10003,02/09/2022,8:00,17:00
10004,02/09/2022,8:00,17:00
10005,02/09/2022,8:00,17:00
10006,02/09/2022,8:00,17:00
10007,02/09/2022,8:00,17:00
10008,02/09/2022,8:00,17:00
10009,02/09/2022,8:00,17:00
10010,02/09/2022,8:00,17:00
10011,02/09/2022,8:00,17:00
10012,02/09/2022,8:00,17:00
10013,02/09/2022,8:00,17:00
10014,02/09/2022,8:00,17:00
10015,02/09/2022,8:00,17:00
10016,02/09/2022,8:00,17:00
10017,02/09/2022,8:00,17:00
10018,02/09/2022,8:00,17:00
10019,02/09/2022,8:00,17:00
10020,02/09/2022,8:00,17:00
10021,02/09/2022,8:00,17:00
10022,02/09/2022,8:00,17:00
10023,02/09/2022,8:00,17:00
10024,02/09/2022,8:00,17:00
10025,02/09/2022,8:00,17:00
10001,05/09/2022,8:00,17:00
10002,05/09/2022,8:00,17:00
10003,05/09/2022,8:00,17:00
10004,05/09/2022,8:00,17:00
10005,05/09/2022,8:15,17:00
10006,05/09/2022,8:00,17:00
10007,05/09/2022,8:00,17:00
10008,05/09/2022,8:00,17:00
10009,05/09/2022,8:00,17:00
10010,05/09/2022,8:00,17:00
10011,05/09/2022,10:30,17:00
10012,05/09/2022,8:00,17:00
10013,05/09/2022,8:00,17:00
10014,05/09/2022,8:00,17:00
10015,05/09/2022,8:00,17:00
10016,05/09/2022,8:00,17:00
10017,05/09/2022,8:00,17:00
10018,05/09/2022,8:00,17:00
10019,05/09/2022,8:00,17:00
10020,05/09/2022,8:00,17:00
10021,05/09/2022,13:00,17:00
10022,05/09/2022,8:00,17:00
10023,05/09/2022,8:00,17:00
10024,05/09/2022,8:00,17:00
10025,05/09/2022,8:00,17:00
10001,06/09/2022,8:00,17:00
10002,06/09/2022,8:00,17:00
10003,06/09/2022,11:30,17:00
10004,06/09/2022,8:00,17:00
10005,06/09/2022,8:00,17:00
10006,06/09/2022,8:00,17:00
10007,06/09/2022,8:00,17:00
10008,06/09/2022,8:10,17:00
10009,06/09/2022,0:00,0:00
10010,06/09/2022,8:00,17:00
10011,06/09/2022,8:00,17:00
10012,06/09/2022,8:00,17:00
10013,06/09/2022,8:00,17:00
10014,06/09/2022,8:00,17:00
10015,06/09/2022,8:00,17:00
10016,06/09/2022,8:00,17:00
10017,06/09/2022,8:05,17:00
10018,06/09/2022,8:00,17:00
10019,06/09/2022,8:00,17:00
10020,06/09/2022,8:00,17:00
10021,06/09/2022,8:00,17:00
10022,06/09/2022,8:00,17:00
10023,06/09/2022,9:00,17:00
10024,06/09/2022,8:00,17:00
10025,06/09/2022,8:00,17:00
10001,07/09/2022,8:00,17:00
10002,07/09/2022,8:00,17:00
10003,07/09/2022,8:00,17:00
10004,07/09/2022,8:00,17:00
10005,07/09/2022,8:00,17:00
10006,07/09/2022,8:00,17:00
10007,07/09/2022,8:00,17:00
10008,07/09/2022,8:00,17:00
10009,07/09/2022,0:00,0:00
10010,07/09/2022,8:00,17:00
10011,07/09/2022,8:00,17:00
10012,07/09/2022,8:00,17:00
10013,07/09/2022,8:00,17:00
10014,07/09/2022,8:00,17:00
10015,07/09/2022,8:00,17:00
10016,07/09/2022,8:00,17:00
10017,07/09/2022,8:00,17:00
10018,07/09/2022,8:00,17:00
10019,07/09/2022,8:00,17:00
10020,07/09/2022,8:00,17:00
10021,07/09/2022,8:00,17:00
10022,07/09/2022,8:00,17:00
10023,07/09/2022,8:00,17:00
10024,07/09/2022,8:00,17:00
10025,07/09/2022,8:00,17:00
10001,08/09/2022,8:00,17:00
10002,08/09/2022,8:00,17:00
10003,08/09/2022,8:00,17:00
10004,08/09/2022,8:00,17:00
10005,08/09/2022,8:00,17:00
10006,08/09/2022,8:00,17:00
10007,08/09/2022,8:00,17:00
10008,08/09/2022,8:00,17:00
10009,08/09/2022,0:00,0:00
10010,08/09/2022,8:00,17:00
10011,08/09/2022,8:00,17:00
10012,08/09/2022,8:00,17:00
10013,08/09/2022,10:00,17:00
10014,08/09/2022,10:00,17:00
10015,08/09/2022,10:00,17:00
10016,08/09/2022,10:00,17:00
10017,08/09/2022,10:00,17:00
10018,08/09/2022,10:00,17:00
10019,08/09/2022,10:00,17:00
10020,08/09/2022,10:00,17:00
10021,08/09/2022,10:00,17:00
10022,08/09/2022,10:00,17:00
10023,08/09/2022,10:00,17:00
10024,08/09/2022,10:00,17:00
10025,08/09/2022,10:00,17:00
10001,09/09/2022,8:00,17:00
10002,09/09/2022,8:00,17:00
10003,09/09/2022,8:00,17:00
10004,09/09/2022,8:00,17:00
10005,09/09/2022,8:00,17:00
10006,09/09/2022,8:00,17:00
10007,09/09/2022,8:00,17:00
10008,09/09/2022,8:00,17:00
10009,09/09/2022,0:00,0:00
10010,09/09/2022,8:00,17:00
10011,09/09/2022,8:00,17:00
10012,09/09/2022,8:00,17:00
10013,09/09/2022,8:00,17:00
10014,09/09/2022,8:00,17:00
10015,09/09/2022,8:00,17:00
10016,09/09/2022,8:00,17:00
10017,09/09/2022,8:00,17:00
10018,09/09/2022,8:00,17:00
10019,09/09/2022,8:00,17:00
10020,09/09/2022,8:00,17:00
10021,09/09/2022,8:00,17:00
10022,09/09/2022,8:00,17:00
10023,09/09/2022,8:00,17:00
10024,09/09/2022,8:00,17:00
10025,09/09/2022,8:00,17:00
10001,12/09/2022,8:00,17:00
10002,12/09/2022,8:00,17:00
10003,12/09/2022,8:00,17:00
10004,12/09/2022,8:00,17:00
10005,12/09/2022,8:00,17:00
10006,12/09/2022,8:00,17:00
10007,12/09/2022,8:27,17:00
10008,12/09/2022,8:01,17:00
10009,12/09/2022,0:00,0:00
10010,12/09/2022,8:00,17:00
10011,12/09/2022,8:00,17:00
10012,12/09/2022,8:00,17:00
10013,12/09/2022,8:00,17:00
10014,12/09/2022,8:00,17:00
10015,12/09/2022,8:00,17:00
10016,12/09/2022,8:28,17:00
10017,12/09/2022,8:00,17:00
10018,12/09/2022,8:00,17:00
10019,12/09/2022,8:00,17:00
10020,12/09/2022,8:00,17:00
10021,12/09/2022,8:11,17:00
10022,12/09/2022,8:00,17:00
10023,12/09/2022,8:00,17:00
10024,12/09/2022,8:21,17:00
10025,12/09/2022,8:00,17:00
10001,13/09/2022,8:00,17:00
10002,13/09/2022,8:00,17:00
10003,13/09/2022,8:00,17:00
10004,13/09/2022,8:00,17:00
10005,13/09/2022,8:00,17:00
10006,13/09/2022,8:00,17:00
10007,13/09/2022,8:00,17:00
10008,13/09/2022,8:00,17:00
10009,13/09/2022,8:00,17:00
10010,13/09/2022,8:00,17:00
10011,13/09/2022,8:00,17:00
10012,13/09/2022,8:00,17:00
10013,13/09/2022,8:00,17:00
10014,13/09/2022,8:00,17:00
10015,13/09/2022,8:00,17:00
10016,13/09/2022,8:00,17:00
10017,13/09/2022,0:00,0:00
10018,13/09/2022,8:00,17:00
10019,13/09/2022,8:00,17:00
10020,13/09/2022,8:00,17:00
10021,13/09/2022,8:00,17:00
10022,13/09/2022,8:00,17:00
10023,13/09/2022,8:00,17:00
10024,13/09/2022,8:00,17:00
10025,13/09/2022,8:00,17:00
10001,14/09/2022,8:00,17:00
10002,14/09/2022,8:00,17:00
10003,14/09/2022,8:00,17:00
10004,14/09/2022,8:00,17:00
10005,14/09/2022,8:15,17:00
10006,14/09/2022,8:00,17:00
10007,14/09/2022,8:00,17:00
10008,14/09/2022,8:00,17:00
10009,14/09/2022,8:00,17:00
10010,14/09/2022,8:00,17:00
10011,14/09/2022,10:30,17:00
10012,14/09/2022,8:00,17:00
10013,14/09/2022,8:00,17:00
10014,14/09/2022,8:00,17:00
10015,14/09/2022,8:00,17:00
10016,14/09/2022,8:00,17:00
10017,14/09/2022,8:00,17:00
10018,14/09/2022,8:00,17:00
10019,14/09/2022,8:00,17:00
10020,14/09/2022,8:00,17:00
10021,14/09/2022,13:00,17:00
10022,14/09/2022,8:00,17:00
10023,14/09/2022,8:00,17:00
10024,14/09/2022,8:00,17:00
10025,14/09/2022,8:00,17:00
10001,15/09/2022,8:00,17:00
10002,15/09/2022,8:00,17:00
10003,15/09/2022,11:30,17:00
10004,15/09/2022,8:00,17:00
10005,15/09/2022,8:00,17:00
10006,15/09/2022,8:00,17:00
10007,15/09/2022,8:00,17:00
10008,15/09/2022,8:10,17:00
10009,15/09/2022,8:00,17:00
10010,15/09/2022,8:00,17:00
10011,15/09/2022,8:00,17:00
10012,15/09/2022,8:00,17:00
10013,15/09/2022,8:00,17:00
10014,15/09/2022,8:00,17:00
10015,15/09/2022,8:00,17:00
10016,15/09/2022,8:00,17:00
10017,15/09/2022,8:05,17:00
10018,15/09/2022,8:00,17:00
10019,15/09/2022,8:00,17:00
10020,15/09/2022,8:00,17:00
10021,15/09/2022,8:00,17:00
10022,15/09/2022,8:00,17:00
10023,15/09/2022,9:00,17:00
